time,education,city,money,team,description,title,company,experience
2018-07-19 13:56,大专,成都,10K-19K,"团队介绍
nice的老板 、管理人员，融洽的工作氛围，工作超舒心
带薪年假 年终分红 扁平管理 公司氛围好 领导nice 深耕教育10年 口碑教育","职位描述
1. 表达能力强，个性开朗，乐于与人交流。
2. 熟练使用Linux/Unix系统，Linux/Mac 作为开发环境
3. 3年以上相关工作经验，扎实的python基础，熟悉Django、tornado、web.py等web框架中的一种；
4. 熟悉MySQL、Redis、mongo之一，熟悉数据库索引；
5. 熟悉数据结构和算法，有扎实的计算机功底和强大的编码能力；
6. 熟悉项目开发流程，熟练使用CVS/SVN等版本控制软件。",Python,"公司介绍
源码时代，一家专注于IT职业教育的黄埔军校!
你不知道的事：
源码时代（前成都源代码教育)深耕IT职业技能培训超过10年的老司机！
每年为企业输送上千IT人才，入职各大名企，IT行业的造血干细胞！
匠心教育，授人以渔，学员就业薪资达到8-15K
查看全部",3-5年
2018-08-09 14:58,本科,成都,8K-16K,"团队介绍
移动互联网 美女如云 领导nice 带薪年假","职位描述
学历要求：统招本科毕业
技能要求：
2年以上相关开发经验
有较好的Python基础",python开发,"公司介绍
软通动力信息技术（集团）有限公司：

软通动力信息技术（集团）有限公司（以下简称：软通动力）是中国领先的创新型软件及信息技术服务商，数字经济使能者。公司2001年成立于北京，立足中国，服务全球市场。经过17年发展，目前公司在全球36个城市设有90余个分支机构25个全球交付中心，员工总数4000
查看全部",1-3年
2018-07-02 11:17,不限,成都,3K-5K,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第","职位描述
1. 做0基础的课程开发（针对小白）
2. 有Python语言基础（高手更好）
3. 该兼职岗位能帮助自己对Python归类整理，把基础知识吃透，同时，提高Python语言的综合运用能力。
4.有一颗帮助别人成就自己的情怀.",Python,"工商信息
成都福甜文化传播有限公司
法人代表：林科炯 注册资金：3万人民币
成立时间：2018-01-09
企业类型：有限责任公司(自然人投资或控股) 经营状态：存续（在营、开业、在册）
查看全部",经验不限
2018-07-21 16:13,大专,成都,7K-14K,"团队介绍
互联网金融 公司氛围好 区块链 AI","职位描述
熟练掌握selenium、scrapy、Beautiful Soup等框架，具备用python处理文本的能力、具备大数据处理经验、掌握kafka、ElasticSearch等工具者优先",Python,"公司介绍
宸瀚信息专注于区块链基础设施研发、链上应用开发，场景落地。致力于推进区块链技术实用化，目标是成为中国最大的原生区块链公司。公司事业体系包含区块链研发及服务、网络安全产品及服务、大数据产品及服务、云计算平台服务、信息系统开发集成服务五大类。总公司位于湖南省长沙市，现下辖信息系统开发部、网络安全事业部、
查看全部",1-3年
2018-06-12 15:33,本科,成都,3K-5K,"公司介绍
公司是北京微创时代，是上市公司利欧股份的全资子公司。在成都设立内容运营中心，得到成华区及今日头条的大力扶持。

成都内容中心立足于在内容传播，公号媒体，短视频等领域成为头部账号及媒体
查看全部","职位描述
职位描述：
1.负责分布式网络爬虫系统的架构设计与开发，进行各种平台信息的抓取和分析；
2.设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；
3,参与爬虫架构设计和研发
4,参与爬虫核心算法和策略优化研究
5,排序，自然语言处理和抓取方向的

任职要求：
1.可接受优秀应届生实习
2.熟练掌握PHP、Python、Java/Scala、C/C++、Golang、Javascript中任意一门语言，掌握多门语言者优先；
3.熟悉Linux开发环境和常用工具，熟悉 Linux 平台下的网络编程和多线程开发；熟悉HTML，熟悉HTTP协议，熟悉正则表达式网页解析。
4.热爱技术专研，特别是爬虫技术，探索未知领域有浓厚兴趣；
5,熟悉多线程、多进程、网络通信编程相关知识
6,大规模网页爬虫开发经验, 熟悉JS，ajax，网页消重
7,能够总结分析不同网站，网页的结构特点及规律
8.有PHP网站开发或相关经验者优先",Python爬虫,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第",经验不限
2018-05-12 18:46,本科,成都,4K-8K,"竞争力分析
综合竞争力评估
一般 良好 优秀 极好
加载中...
个人综合排名：在人中排名第","职位描述
1、跟踪、收集和整理私募、公募行业基金产品，进行清理整理，并进行比较分析；
2、根据发展动态和市场需求，进行私募、公募行业产品进行建模，筛选优质基金公司及优质基金产品，进一步针对优质公司、产品，构造私募FOF、公募FOF组合；
3、参与对股票量化模型建构及分析、研究工作；
4、完成数据处理代码编写，按照投资经理的要求，完成金融交易策略的编写、测试，并进行结果分析、策略改进；
5、配合公司内部python培；
6、金融工程，具有证券从业资格、基金从业资格优先。",Python,"工商信息
成都之柱资产管理有限公司
法人代表：白玉柱 注册资金：1000.000000万人民币
成立时间：2018-01-25
企业类型：其他有限责任公司 经营状态：存续（在营、开业、在册）
查看全部",经验不限
2018-07-02 10:11,本科,成都,7K-10K,"公司介绍
子询深圳研究院是国内领先的综合性语音助手落地结合方案提供商，医疗、金融、法务领域赋能方案提供商、工业监测机器人、服务型机器人提供方案创新企业。公司通过为全国多家省市级医疗中心、地方政府和企业网客户提供创新技术与产品解决方案，让用户享有一流、先进、卓越、高效的AI体验。子询（深圳）人工智能研究院成立于
...查看全部","职位描述
岗位职责：
1. 负责Python Web后端开发和维护；
2. 根据项目要求完成相关功能的开发；
3. 负责代码的单元测试及对集成测试的支持；
岗位要求：
1.计算机相关专业，二年及以上同等工作岗位经验
2.熟悉Python语言、Django框架，具有Python后端开发经验
3.熟悉Linux编程环境，能在Linux环境下完成日常工作
4.具有Mysql数据库开发经验，
5.具有一定的互联网爬虫经验
个人特质：
自我学习能力强，善于沟通交流，有责任感，有团队协作精神，对新技术敏感；",python开发工程师,"竞争力分析
综合竞争力评估
一般 良好 优秀 极好
加载中...
个人综合排名：在人中排名第",1-3年
2018-07-20 09:42,本科,成都,7K-10K,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第","职位描述
1、Python基础扎实；
2、熟练使用常用标准库，熟悉数据结构，面向对象；
3、熟悉Oracle rac原理，有Oracle DBA工作经验，能独立完成Oracle安装和配置优先；
4、熟悉linux的常用操作，熟悉常用的ssh工具，如xshell、xterm；
5、熟悉常用的版本管理软件，如git。",初级Python开发,"工商信息
成都思博信科信息技术有限公司
法人代表：朱鹏 注册资金：1000万人民币
成立时间：2013-10-28
企业类型：有限责任公司(自然人投资或控股) 经营状态：存续（在营、开业、在册）
查看全部",1-3年
2018-07-10 16:46,不限,成都,4K-6K,"团队介绍
地铁周边 年度旅游 公司氛围好 晋升空间大 薪资福利好","职位描述
1.负责Python Web后端开发；
2.负责数据库模型设计和维护；
3.负责功能开发和代码维护，编写完整的接口文档；
4.负责代码的单元测试及对集成测试的支持。
任职要求：
1.至少1年以上Python开发使用经验，能熟练使用Python进行Web后端开发；
2.精通/熟练掌握MySQL数据库，并对Redis / MongoDB等新型数据库有所了解；
3.能熟练使用Linux进行开发了日常工作，有一定的Shell/Python脚本编程基础；
4.良好的编程习惯和英文文档阅读能力，具有良好的主动学习能力和习惯；
5.理解并能应用RESTFul规范；
6.加分项: 熟悉django或者flask，具有jquery，vue开发基础，了解虚拟化平台。
薪资待遇：年薪+年终奖+年底绩效+节日福利+全勤奖+社保+每年2次调薪。
上班时间：8:30-17:30，周末单双休，国家法定节假日照放。",python,"公司介绍
成都安信源科技有限责任公司成立于2010年，坐落于成都市成华区成渝立交附近，公司目前规模100余人，在深圳设有物流中心。是一家从事线上平台销售的跨境电子商务运营公司，我公司采用B2C的贸易模式，拥有丰富的电商平台运营经验并熟练掌握国际各电商平台运作的全部流程。
我公司通过自
",经验不限
2018-07-23 00:35,本科,成都,10K-20K,"团队介绍
公司团队由来自国内一流IT公司管理团队、技术团队和创业经验丰富的博士、硕士团队构成。公司还将继续聚集国内外顶级高校和一流公司的高级人才加入。
在这里，我们共同心怀顶尖，追求极致。
在这里，我们自我判断，坦诚沟通，结果导向。
在这里，创业于大家由心而生，未来于大家至关重要！
扁平管理 移动互联网 领导nice 公司氛围好 免费零食 美女如云 年度旅游","职位描述
职责描述：
1、负责图像内人类动作和行为的识别
2、负责图像算法研究和工程实现
3、业务方向包括但不限于人脸识别、检测跟踪与统计、人体骨骼关键点检测、动作识别、图像中文描述、视频内容理解
4、跟进图像识别落地产品全流程，包括图像数据集收集、图像识别模型建立、图像识别模型优化、落地的工程接口对接

任职要求：
1.211、985大学硕士及以上学历，计算机、数学相关专业，3年及以上相关工作经验
2.Python+Tensorflow+OpenCV+SKLearn+Pandas+Numpy+Scipy是必须具备的能力
3.根据应用场景选择合适的模型，熟悉光流法、3DCNN、DensePose
4.熟练掌握特征处理、参数调优、模型集成等方法
5.拥有神经网络模型压缩、网络裁剪等工作经验
6.对于Github和StackOverFlow有长期使用习惯，有阅读英文最新文献的习惯和能力
公司福利：
1、周末双休,五险一金，享受国家法定节假日；
2、享有下午茶、团队旅游、节假日福利等；
3、享有带薪年休假；
4、提供每年一次体检；
5、提供广阔的上升空间及升职机会；
6、舒适的人性化办公环境。",python,"公司介绍
成都未至科技有限公司成立于2018年2月，是一家以AI技术、大数据驱动的智能生活服务公司。公司立足于物联网和大数据，致力于人工智能服务领域最新突破。
目前公司将智能机器人学习应用于早期儿童教育、家庭生活等场景中。基于幼儿行为产生的大数据以智能地向用户提供个性化解决方案。
公司团队由来自国内一流I
查看全部",1-3年
2018-07-30 15:28,本科,成都,8K-10K,"团队介绍
我们是一个小型团队，每个员工都独当一面
领导nice 不打卡 免费零食 公司氛围好 带薪年假 扁平管理 地铁周边 股票期权","职位描述
1.项目后台功能开发。

2.负责相关软件模块的完善和性能调优工作；

3.参与框架优化、性能优化、系统重构等工作;

任职要求

1.细心，热爱技术，喜欢钻研，对python/javascript感兴趣。
2.有一定的项目开发经验，研究过优秀开源软件的源码并有心得者优先。
3.（后端）熟悉linux系统命令、熟悉MySQL/MongoDB数据库、网络编程。
4.（后端）Django/Flask，至少一个很熟悉。
5.了解js/css/html，熟悉常见的模板语言，能够独立完成网页布局和交互功能。
7.具备良好的分析解决问题能力

该职位是由我公司代中铁信息集团公司招聘，参与我司与中铁信息的合作项目。",Python,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第",1年以内
2018-08-09 10:09,本科,成都,8K-12K,"团队介绍
公司氛围好 地铁周边","职位描述
岗位数：1人 （2018/8/9 更新）
主要工作职责
- 为某大型合资公司做软件开发外包工作
- 负责云计算管理平面软件的设计，开发，调试，或参与系统测试工作
- 根据项目要求，需要去现场项目做支持工作

主要技能要求
- 熟悉python脚本语言,有2-3年实际Python开发经验
- 熟悉OpenStack或CloudStack，有相关开发经验
- 熟悉Linux平台，最好有管理员工作经验
- 能很好地进行技术性交流和沟通",初级Python开发工程师,"公司介绍
勤智数码科技股份有限公司（ChinaWiserv Technologies Inc）是国内专业的智能IT运维解决方案提供商及大数据综合运营商，业务涉及智能服务（IT运维、流程管理、信息安全评测与咨询等）、大数据（采集、分析、处理、挖掘、应用等）以及智慧城市的建设和运营，客户遍布政府、金融、教育、电力
查看全部",3-5年
2018-07-25 14:53,大专,成都,15K-30K,"公司介绍
源码时代，一家专注于IT职业教育的黄埔军校!
你不知道的事：
源码时代（前成都源代码教育)深耕IT职业技能培训超过10年的老司机！
每年为企业输送上千IT人才，入职各大名企，IT行业的造血干细胞！
匠心教育，授人以渔，学员就业薪资达到8-15K
查看全部","职位描述
1. 表达能力强，声音清晰自然，个性开朗，乐于与人交流。
2. 熟练使用Linux/Unix系统，Linux/Mac 作为开发环境
3. 3年以上相关工作经验，扎实的python基础，熟悉Django、tornado、web.py等web框架中的一种；
4. 熟悉MySQL、Redis、mongo之一，熟悉数据库索引；
5. 熟悉数据结构和算法，有扎实的计算机功底和强大的编码能力；
6. 必须有很强的动手编码能力，以编码驱动教学，拒绝对着ppt讲课。
7. 有过1年以上教学经验，并且是所在培训机构学生口碑最好的讲师，优先考虑。
8. 熟悉项目开发流程，熟练使用CVS/SVN等版本控制软件。
9. 年薪范围：20万-50万
10. 年薪的组成：基本工资+代课费+老员工奖+效益奖+管理奖金。
注：工作满1年即可享受每年2到8万的老员工奖，一般工作满叁年，年薪将达40万，有管理职位，年薪达50万。年薪达50万。",python讲师,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第",3-5年
2018-06-04 16:15,大专,成都,10K-16K,"公司介绍
之维安是一家致力于提供环境保护、公安行业信息化软硬件技术方案和集成、建设及运维服务的高新技术企业。

环保一网通是我公司与“四川省环境保护科学研究院”、“四川日报”联合开发的环保综合服务平台，旨在为用户提供最权威、最及时、最
查看全部","职位描述
工作职责：
1、负责用户体系程序设计、开发，针对运营、产品需求协助项目负责人制定开发计划；
2、根据产品的需求，分解需求并完成相应的开发和测试;
3、负责分析业务领域比较复杂的问题，根据业务需求选择技术解决方案。

任职要求:
- 精通 Python 语言，4 年以上的 Python 语言应用开发经验
- 熟练掌握主流的 Python 框架，django（优先）, django-cms, flask
- 熟悉微服务开发流程以及常用开源框架
- 熟悉 MySQL 数据库的开发、应用与性能优化，同时有 NoSQL（Redis 与 MongoDB）实际经验
- 熟悉服务器端应用架构与优化，了解高可用、容灾、负载均衡、缓存等技术及原理
- 熟悉主流云平台（阿里云、AWS、Google 云平台），有云平台项目部署经验，及应用云平台组件构建系统服务经验
- 精通 Linux 操作系统，熟悉 Ubuntu, CentOS 等
- 熟悉 Nginx 等服务器软件
- 了解 DNS 原理和配置优先
- 了解Thrift RPC框架优先",Python,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第",3-5年
2018-07-18 11:52,不限,成都,30K-60K,"公司介绍
成都冈与轩齐科技有限公司主要经营：开发，销售计算机软硬件；计算机技术咨询、技术服务；物联网技术研发、技术服务；网络设备及产品等。公司尊崇“踏实、拼搏、责任”的企业精神，并以诚信、共赢、开创为经营理念，创造良好的企业环境，以全新的管理模式，完善的技术，周到的服务，始终坚持用心服
查看全部","职位描述
岗位职责：
1、负责服务器端架构设计、通讯协议设计、模块划分；
2、负责性能、网络、数据等方面的优化；
3、实现技术难点、关键框架代码、核心逻辑代码；
4、保证服务端的稳定性、可扩展性、安全性和效率；
5、相关的工具开发，相关文档的书写。
岗位要求：
1、本科以上学历，3年以上端游、页游或手游服务端开发经验；
2、熟悉python及相关的库，熟悉linux环境；
3、熟悉多线程、多进程、socket、数据库等相关技术；
4、具有较强的架构能力，具备服务器性能及代码性能优化能力，具备高并发流量下的请求处理经验；
5、热爱游戏开发，高度的工作责任心，思维严谨，逻辑清晰，注重工作效率，具备技术难点攻关能力。",python服务端开发工程师,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第",3-5年
2018-07-20 09:07,本科,成都,6K-7K,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第","职位描述
1.本科以上学历
2.熟悉Python",Python开发,"工商信息
成都思博信科信息技术有限公司
法人代表：朱鹏 注册资金：1000万人民币
成立时间：2013-10-28
企业类型：有限责任公司(自然人投资或控股) 经营状态：存续（在营、开业、在册）
查看全部",1-3年
