title,money,city,claim,types,education,times,description
python开发工程师,7k-14k ,成都 ,['经验1-3年'],全职, 大专及以上 ,1天前,"职位描述：
1、熟悉python web开发，了解python常见开发框架，数据常用技术栈；
2、具有服务端开发经验，熟悉数据结构、设计模式、http协议、web开发技术；
3、熟悉mysql数据库，了解elasticsearch搜索引擎；
4、理解restful风格接口规范，对前端知识有一定了解；
5、对数据爬虫，数据获取与分析有一定了解；

任职要求：
1、2年以上的相关工作经验
2、工作认真，责任心强，具有良好的沟通和团队协作能力
3、具体相应的项目经验
4、能接受长期出差"
Python,15k-30k ,武汉 ,['经验3-5年'],全职, 大专及以上 ,09:06,"职位描述：
1、Python，Shell开发经验，有运维自动化平台开发经验。
2、熟悉Linux、MySQL安装配置和运维管理。"
Python开发,13k-26k ,上海 ,['经验3-5年'],全职, 本科及以上 ,1天前,"职位描述：
职位描述：
岗位职责：
1、根据开发进度和任务分配按时按量完成相应模块软件的设计、开发；
2、能独立处理和解决工作中遇到的问题；
3、进行程序单元、功能的测试，对软件中存在的BUG能准确定位并解决；
4、进行编制项目文档，记录工作质量；
5、参与运维自动化产品功能开发可行性需求的分析和相关评估。
岗位要求：
1、本科及以上学历，计算机、自动化相关专业毕业；
2、熟练使用Python，熟练django框架，语言经验在两年或以上，基本功扎实，标准库熟练；
3、会写，会调，熟悉热门的Python库，如requests，Jinja2，pandas，Numpy等；
4、熟悉Linux的命令行操作；
5、不错的英文读写功力，阅读python相关技术文档，热爱Python，对自己的代码风格要求严格，有技术热情，执行力强。
加分项：
1、有python开源项目；
2、对devops有深入理解和独特看法。
 "
python工程师,15k-30k ,北京 ,['经验3-5年'],全职, 本科及以上 ,2天前,"职位描述：
岗位职责
1.内容生成，内容优化，内容检测策略设计及实现
2.编写爬虫实现对互联网数据的采集和数据抽取等工作。
3.内容提取、处理、结构化、过滤等数据处理，并设计存储结构。
4.超大规模数据的自动化批处理服务实现。
任职要求
1.拥有良好的算法和数据结构功底
2.熟练掌握python脚本语言的使用
3.熟练掌握mysql等数据库，拥有良好的数据设计能力
4.有后端项目开发经验优先
5.熟悉前端技术(html/css/js)优先"
Python开发工程师,20k-35k ,上海 ,['经验3-5年'],全职, 大专及以上 ,2天前,"职位描述：
工作职责：
1. 负责设计和开发分布式的网络爬虫应用，进行互联网相关信息的抓取和分析；
2. 设计策略和算法，提升网页抓取的效率和质量，进一步解决系统的网页排重、垃圾控制、资源划分等问题；
3. 负责其他运营类后台需求。
岗位职责：
1. 计算机、信息技术或相关专业本科或以上学历；
2. 精通python开发，精通Linux、网络编程、shell等脚本语言
3. 精通网页抓取原理及技术，精通从结构化的和非结构化的数据中获取信息者优先；
4. 具备良好的学习能力，对互联网有很强的求知欲
5. 有良好的合作意识和自我驱动力，能主动承担模糊任务,抗压能力"
Python开发工程师,18k-36k ,北京 ,['经验3-5年'],全职, 本科及以上 ,09:44,"职位描述：
工作职责
后端基础架构和开发；
提供高并发语音、图像、视频、自然语言处理和大数据分析请求的处理能力；
海量数据存储平台搭建；

任职要求
具备python语言的项目开发经验；
熟悉MySQL、Redis、Nginx、Flask框架；
熟练使用Docker进行开发；
了解elasticsearch、Prometheus；
有一定的数据结构和算法基础。"
python开发,10k-19k ,上海 ,['经验不限'],全职, 学历不限 ,1天前,"职位描述：
本科以上学历
1. 计算机等相关专业本科及以上学历，若能力较强可放宽标准；
2. 扎实的计算机基础理论基础，对常见数据结构和面向对象设计有深入理解；
3. 熟悉Python以及Python Web开发框架如Django，flask等，具有一年及以上项目实战经验；
4. 熟悉MySQL/Oracle/Redis 等其他一些结构化/非结构化数据库的应用；"
Python 研发工程师,25k-45k ,北京 ,['经验3-5年'],全职, 本科及以上 ,2天前,"职位描述：
职位职责：
1、参与系统架构设计、优化，提升系统性能和开发效率，保证高并发高可靠；
2、通过不断的技术研究和创新，推动业务的快速发展和高效迭代。

职位要求：
1、有扎实的编程能力，有优秀的设计能力和代码品位，热爱编程；
2、深刻理解计算机原理，有良好的数据结构和算法基础；
3、有高并发服务设计和实现经验，对分布式系统有自己的理解；
4、对软件产品有强烈的责任心，具备良好的沟通能力和优秀的团队协作能力。"
Python研发工程师,15k-30k ,北京 ,['经验3-5年'],全职, 大专及以上 ,1天前,"职位描述：
工作内容：
1、负责产品的系统设计和架构分析，参与核心模块的代码编写；
2、负责效率工具的后台开发工作，具体包括各种需求分析、文档撰写、设计编码、测试运维、效果追踪等工作；
3、负责高质量的设计和编码，承担重点、难点的技术攻坚；
4、参与讨论公司产品发展方向，把握产品开发和升级进度；
专业知识：
1、3年以上Python开发经验；
2、熟悉大型网站的网络架构；
3､熟练使用flask, Django,Rabittmq,namekro等框架；
4、精通Nginx/MongoDB等的性能调优；
5、精通常见的缓存产品如Redis／Memcached等；
6、有良好的学习能力，擅于钻研某方面技术；
7、细致认真，善于沟通，能和团队融洽相处。
8.有良好的算法和数据结构基础，及很强的自学能力；"
Python开发工程师,13k-25k ,珠海 ,['经验不限'],全职, 学历不限 ,1天前,"职位描述：
工作职责：
1、负责wps运维平台的开发；
2、运维自动化的研究、开发、部署；
任职要求：
1.1年以上python开发经验
2.熟悉linux操作系统的使用与配置；
3.熟悉mysql数据库。"
python开发工程师,8k-10k ,西安 ,['经验3-5年'],全职, 本科及以上 ,1天前,"职位描述：
任职资格：
1.    3年以上编码经验
2.    熟悉python或java，熟悉设计模式，有良好的的编码习惯和较高的代码质量
3.    熟悉nginx、redis、mysql等开源软件
4.    拥有较强的排查问题、分析问题和解决问题的能力
5.    具备团队合作精神，积极的工作态度和较强的责任心，良好的沟通和学习能力
其他：
1.    熟悉主流云平台如openstack或vsphere为加分项
工作职责：
1.    云安全系统模块设计、子系统架构设计
2.    云安全系统核心模块的编码实现
3.    组内模块代码走查、评审工作
4.    技术文档的编写
5.    产品维护工作按照公司开发流程，完成相应的开发任务。"
Python开发工程师,5k-8k ,广州 ,['经验1年以下'],全职, 大专及以上 ,14:20,"职位描述：
岗位职责：
1、录入网站站点；
2、编写Python初级代码；
3、其他领导交给的任务；
4、负责物联网应用系统开发、算法实现。
 任职要求：
1.计算机科学、软件工程相关专业；
2.熟悉Java或Python，了解C/C++语 言；
3.了解linux系统以及基本的命令；
4.了解网络通信技术，了解常用的网络协议；
5.了解数据结构，有使用算法解决实际问题经验优先。
薪资待遇：
1.双休，朝九晚六，五险一金，无责任底薪3500-4500元/月+提成。 
2.员工享餐补、健康体检、生日礼物，过节物品等福利。 
3.享受法定假期，带薪年假。"
Python 开发工程师,20k以上 ,上海 ,['经验不限'],全职, 本科及以上 ,13:00,"职位描述：
职位描述：
1. 负责人工智能产品技术及云平台产品开发；
2. 通过机器学习，持续产品和技术的优化；
3. 设计及运用先进技术于产品开发。
  任职资格：
1. 本科及以上学历，计算机相关专业毕业，本科3年以上工作经验，硕士1年以上工作经验；
2. 具有扎实的编程及设计功底，精通Python开发编程；
3. 具有丰富的网络或移动后台搭建与编程经验；熟悉业界内常用的开源工具，并在不同项目中有实际使用经验；具备良好的分析解决问题能力，能独立承担任务和有项目进度把控能力。"
Python开发工程师,15k-30k ,北京 ,['经验1-3年'],全职, 本科及以上 ,1天前,"职位描述：
岗位职责：
1.面向海外用户提供精美、易用、高分享性的Web/App产品；
2.负责或参与服务器端web服务的开发。
任职要求：
1.全日制本科以上学历；
2.1年或以上服务器项目开发经验，精通Java、PHP、Python、.NET中的一种，愿意深入学习Python；
3.扎实的面向对象编程思想，具备模块化编程的思维与经验，熟悉Git；
4.熟悉关系型数据Oracle、MySQL、SQLServer中的一种；
5.熟悉或了解服务器管理（如CentOS/Debian/Ubuntu）、服务器缓存技术（如Redis/Memcache）、ELB技术、CDN技术者优先；
6.良好的沟通能力、协作能力、抗压能力。"
python开发工程师,20k-40k ,北京 ,['经验不限'],全职, 硕士及以上 ,1天前,"职位描述：
职位描述：
1.数据爬虫设计与开发
2.数据 ETL和数据可视化 
3.实时大数据处理 
4.相关业务后台管理系统
技能要求： 
1.一年以上python开发经验 
2.熟练使用Django，tornado等python框架
3.熟悉 Linux 系统使用 和 shell 编程 
加分项（任意一项）：
1.熟悉js
2.做过爬虫
3.做过音视频编解码
4.做过数据可视化"
python,10k-18k ,广州 ,['经验1-3年'],全职, 本科及以上 ,1天前,"职位描述：
使用过python数据平台开发；
了解spark，yarn，hadoop；
有一定sql能力；
传统BI系统项目工作经验优先；"
Python开发工程师,20k-35k ,北京 ,['经验1-3年'],全职, 本科及以上 ,1天前,"职位描述：
职位职责：
1、负责今日头条商业变现产品后台服务的设计、开发、优化等研发工作，保证产品的质量和开发进度；
2、负责客户增长相关技术的设计与实现；
3、研究新兴技术，对产品进行持续优化。

职位要求：
1、本科及以上学历，计算机相关专业，基础知识扎实；
2、聪明，学习能力强，有独立解决问题的能力；
3、熟悉面向对象编程，掌握java/c++/python/php中的至少一门语言；
4、良好的编程习惯，追求极致的代码品质，熟悉常用设计模式和一般项目的开发流程；
5、开朗上进，积极沟通，善于团队协作。"
python开发工程师,9k-15k ,西安 ,['经验1-3年'],全职, 本科及以上 ,1天前,"职位描述：
任职资格：       
1. 1年以上相关工作经验；
2.  熟悉linux，有丰富的python开发经验
3.  具备良好的分析解决问题能力和通过google解决问题的能力
 除了这些要求，如果你具备以下条件更优：
1. 熟悉elasticsearch、nginx、redis、mongoDB、mysql等开源软件；
2. 对网络安全行业感兴趣优先

工作职责：       
1. 参与云端大数据产品的研发工作；
2. 负责云端产品的后台开发工作，包括高性能API接口实现，后台数据处理等；
3. 实现代码需要能够在大数据量、高并发的场景下有优异的性能和稳定性表现"
Python开发工程师,15k-30k ,北京 ,['经验5-10年'],全职, 大专及以上 ,1天前,"职位描述：
工作职责：
1.负责爬虫的开发，网络数据抓取、提升爬虫性能；
2.业务需求分析，数据收集、数据模型设计、基于mysql的数据仓库开发报表，编码SQL与存储过程，并视情况进行SQL优化；数据库报表呈现及优化；
3.设计并构建NLP基础平台，用于处理各类NLP任务；
4.构建NLP相关的预测模型，服务于用户画像、推荐、广告等系统；
5.应用机器学习处理海量非结构化文本数据，完成知识抽取、NLU、多轮对话决策、智能纠错、逻辑推理等在实用场景下的落地实现；
6.搭建算法平台、开发基础算法，实现基于需求和场景的算法开发、算法评估和算法迭代，实现特征中心的特征开发和优化；

任职资格：
1.5年以上互联网行业研发工作经验；
2.熟悉常用报表/图表开发工具；熟悉mysql数据库，数据仓库，精通SQL语言； 
3.精通Python/C++/Java语言，对算法和数据结构有深入研究, 有Linux相关平台应用程序开发经验、有大规模搜索、推荐系统实际研发经验；
4.熟悉掌握算法和数据结构，具备扎实的数据结构与算法功底，能够合理应用保证系统的性能与效率；
5.NLP基础知识系统扎实， 掌握机器学习相关知识，有有NLP开发、深度学习和增强学习算法经验的优先；
6.有推荐系统研发经验，有协同过滤、逻辑回归、GBDT、DNN等，有推荐、广告或搜索算法研发等方面实践经验者优先；
7.良好的文档输出能力及丰富的网站服务架构经验，具备技术前瞻能力；
8.具备良好的团队合作精神，高度的责任感，善于沟通，为人踏实，抗压能力强，拥有严谨的工作态度；"
Python开发,15k-30k ,上海 ,['经验3-5年'],全职, 本科及以上 ,1天前,"职位描述：
岗位职责：
1、负责产品服务器端设计和代码实现 ；
2、优化现有产品的功能和体验细节 ；
3、积极调研新技术，随时准备用于产品 ；

岗位要求： 
1、本科及以上学历，计算机、软件工程、信息管理、计算机应用等理工专业 ；
2、3年以上Web服务器端开发经验， 2年以上python服务端开发经验，做过saas平台，大并发经验优先 ；
3、有丰富的数据库建模经验，有MySQL、MongoDB、Redis使用经验者优先 ；
4、有扎实的技术功底，做到知其然并知其所以然，能读懂python主流框架源码 ；
5、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用，解决问题；
6、具有一定的技术架构思维，确保设计的技术方案、开发的代码有较高性能、质量保障、扩展性，前瞻性 。"
PYTHON开发,8k-10k ,郑州 ,['经验1-3年'],全职, 本科及以上 ,2天前,"职位描述：
1.主导业务平台节点和控制中心的设计、开发与优化工作；
2.完成产品的集群化部署方案；
3.参与Python开发团队，同时与各部门团队成员协同工作，共同完成迭代开发任务，确保产品的顺利上线。
  任职要求：
1.本科及以上学历，计算机、软件工程、信息管理、计算机应用等理、工专业；
2.2-3年以上Python开发经验,  2年以上python服务端开发经验；
3.熟练掌握Django或者其他Python Web开发框架，熟悉html、js、css、jquery等web开发者优先；
4.具备数据库设计能力，熟练掌握MySql者优先；
5.有大型网络服务开发，在高并发，高稳定性方面有经验者优先；
6.熟悉Linux操作系统，熟悉Apache/Tomcat/Ngnix等Web Server的部署和应用；
7.具备良好的编码习惯及开发文档书写习惯；
8.具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力。"
python应用开发工程师,9k-15k ,成都 ,['经验1-3年'],全职, 本科及以上 ,1天前,"职位描述：
岗位职责：
1、负责公司的媒体行业智能应用开发；
2、负责实现接口逻辑设计和优化，建立和完善开发文档；
3、产品发布上线时，协助完成项目调试、部署等工作；
4、持续改进产品，为公司其他部门提供技术方案评估。

任职要求：
1、统招本科及以上学历，熟练掌握Python，有2年相关工作经验；
2、熟悉常用的网络库，熟悉常用数据结构和算法，有高并发网络设计经验优先；
3、熟悉Linux操作系统及其常用命令，熟悉Nginx等WebServer的部署和应用；
4、具备数据库设计能力，熟练掌握MySql和Redis等常用数据库，熟悉git等协作工具，以及敏捷开发流程；
5、善于沟通、积极主动、踏实认真，具有良好的团队协作精神。"
Python开发,4k-8k ,重庆 ,['经验不限'],全职, 本科及以上 ,1天前,"职位描述：
岗位职责：
1、负责功能模块设计、研发、测试等工作；
2、负责项目内爬虫代码开发及维护；
任职资格：
1、至少1年以上Java开发经验，优秀应届毕业生考虑。
2、熟练应用Spring mvc或spring boot等技术，并有实际项目开发经验。
3、熟悉MySQL, Oracle，MongoDB等数据库至少一种
4、熟悉Python语言及Scrapy、pyspider等框架优先"
Python开发工程师,10k-20k ,北京 ,['经验3-5年'],全职, 本科及以上 ,1天前,"职位描述：
岗位职责：
1根据业务需求，可独立完成技术可行性报告、概要设计、详细设计、并撰写相关文档；并负责讲解相关设计；
2. 搭建系统开发环境，完成系统框架与核心代码开发。
任职要求：
1.熟悉python语言服务端开发，2年以上开发经验；
2.熟悉django/tornado等python框架，有大开发项目经验优先；
3.熟悉memcache/redis/mongo等缓存技术；
4.熟悉mysql数据库开发与优化；
5.有良好的编程理念和项目架构设计；
6.熟悉saltstack/puppet/ansible等开源运维工具，熟悉测试工具。"
python研发工程师,8k-15k ,武汉 ,['经验3-5年'],全职, 本科及以上 ,1天前,"职位描述：
岗位职责：
1.负责数据统计相关设计及开发工作，主要实现语言为Python，开发环境为Linux。
2.负责已有统计相关脚本的优化及维护工作
3.根据业务需要完成项目经理安排的其他工作。

任职资格：
1.计算机相关专业，全日制本科以上学历，3年以上Python项目开发经验；
2.熟悉标准SQL和数据库设计，了解常用缓存策略；
3.熟悉LAMP开发环境，具备Linux下开发及调试经验；
4.热爱技术，拥有良好的代码书写和编程习惯；
5.有较强的沟通能力、主动性和责任心，具有团队合作精神；
好巧福利:
1.办公电脑台式/笔记本随意选，使用个人电脑享受每月补助，根据需要还可双屏配置；
2.弹性工作、五险一金、商业保险（意外交通/伤残/猝死/百万医疗）、带薪年假10天+、年度体检；
3.零食水果不断，咖啡茶随意畅饮，旅游出行酒店、机票享员工内部优惠；
4.团队腾讯、百度、旅游业大咖云集，真正的扁平管理，我们的理念：平等、互信、尽责、进步，绝无仅有的靠谱。"
python开发工程师,15k-30k ,北京 ,['经验3-5年'],全职, 本科及以上 ,2天前,"职位描述：
岗位职责：
1. 负责大数据部门相关后台系统研发
2. 负责大数据部门相关API接口的提供
3. 负责相关高并发业务的开发
任职资格： 
1. 本科及以上学历，3年以上互联网业务开发开发经验 
2. 精通Linux、Mysql、Redis
3. 精通Python，熟练使用Flask、Gunicorn、Numpy、Scipy、ScikitLearn等类库，有golang和php开发经验者优先
4. 有Spark SQL、Tensorflow等使用经验者优先
5. 掌握基本的数据结构、算法，依据实际的数据问题具备一定的算法调优能力 
6. 对商业化业务感兴趣，对数据敏感，逻辑性强，认同技术驱动业务发展的价值观，能不断用简单优雅的技术方案解决业务问题，有良好的逻辑思维与沟通能力"
Python开发工程师,15k-28k ,北京 ,['经验3-5年'],全职, 本科及以上 ,2天前,"职位描述：

职位要求：
Python开发工程师（工作两年或以上，工作地北京）
熟练使用Python标准库作为开发环境；
熟练调用MySQL、Key-Value存储系统，能够进行系统性能调优；
熟练处理Python Unicode、IO读写、调试、进程线程同步；
有大规模高并发访问的后端应用开发或分布式开发经验者优先；
如能提供你在开源网站上的作品，请务必注明URL；

我们还希望你：
有分析和发现系统的优化点，负责推动产品性能和架构优化，以及不断创新的能力；
有很强的分析问题和解决问题的实践动手能力；
热爱编程，对代码有处女座般完美癖好，强烈的责任心，视产品为自己的孩子；
鼓励使用Linux和开源代码；"
Python开发工程师,6k-10k ,广州 ,['经验1年以下'],全职, 大专及以上 ,09:50,"职位描述：
岗位要求：
1、了解一定python基础。
2、根据项目需求进行数据分析与技术支持；
3、对语言编程有一定的了解。
专享福利:
1、双休、法定节假日及福利，享有婚假、产假、陪产假及带薪年假；
2、入职六险一金、完善的晋升机制、年终奖及每年享有两次调薪机会；
3、年度体检、年度旅游、周末聚会、丰富员工的业余生活；
4、员工生日会、员工周年礼物。"
Python工程师,10k-20k ,深圳 ,['经验3-5年'],全职, 本科及以上 ,08:59,"职位描述：
工作职责：
1、参与项目产品推荐研发工作，分析系统大数据；
2、深入理解业务以及机器学习，数据挖掘等技术，持续提升推荐效果。
3、参与公司AI和产品的开发，参与核心代码和软件的编写；
4、能够独立完成详细设计及编码、进行代码审查；

职位要求：
1、本科及以上学历，硕士优先。统计、计算机、应用数学、人工智能、模式识别等相关专业。两年以上工作经验。
2、熟悉自然语言处理、机器学习、深度学习、强化学习等相关算法，对自然语言处理方向有较深和全面的认识；
3、至少精通Python、Java或者其他语言中的一种，有较强的编程能力；
4、了解深度学习在自然语言处理方向的相关算法和框架，有Tensorflow, Theano, Keras项目实战经验的优先；有智能问答、语义理解、知识图谱、推荐系统等相关方向实战经验的优先；

工作职责：
1、参与项目产品推荐研发工作，分析系统大数据；
2、深入理解业务以及机器学习，数据挖掘等技术，持续提升推荐效果。
3、参与公司AI和产品的开发，参与核心代码和软件的编写；
4、能够独立完成详细设计及编码、进行代码审查；

职位要求：
1、本科及以上学历，硕士优先。统计、计算机、应用数学、人工智能、模式识别等相关专业。两年以上工作经验。
2、熟悉自然语言处理、机器学习、深度学习、强化学习等相关算法，对自然语言处理方向有较深和全面的认识；
3、至少精通Python、Java或者其他语言中的一种，有较强的编程能力；
4、了解深度学习在自然语言处理方向的相关算法和框架，有Tensorflow, Theano, Keras项目实战经验的优先；有智能问答、语义理解、知识图谱、推荐系统等相关方向实战经验的优先；"
Python工程师,15k-30k ,北京 ,['经验3-5年'],全职, 大专及以上 ,1天前,"职位描述：
岗位描述：
1、负责自动化平台开发工作，具体包括需求分析、文档撰写、设计编码、测试运维、效果追踪等工作；
2、负责持续集成、持续发布系统的开发和维护；
3、深入分布式平台架构，发现并解决系统的重大故障及性能瓶颈，打造一流的自动化平台；
4、实现核心技术组件（语音、人脸相关），为业务调用提供基础。
任职要求：
1、统招计算机或相关专业大专及以上学历，3年以上开发经验，能独立进行功能开发；
2、具备Python或Go项目经验，至少精通 Flask，Tornado、beego，Martini的一中 Web 后端开发框架；
3、熟悉Mysql，MQ，Redis等数据库，熟练使用sql语句；
4、精通Linux操作系统和TCP/IP协议，以及Websocket、HTTP2、MQTT协议等；
5、有自动化&分布式平台开发经验者优先；
6、良好的沟通、组织协调能力和强烈的责任心；
7、对行业技术敏感度高且细致，善于思考，乐于发现，对解决具有挑战性问题充满激情；
8、数据结构/算法基础扎实。"
